"","ID","Title","Premium","Period.Of.Rebalancing","Number.Of.Instruments","Markets.Traded","Instruments.Available","Complexity","Backtest.Period.Source","Backtest.Length","Indicative.Performance","Volatility","Maximum.Drawdown","Confidence.In.Anomaly","Keywords","Sharpe.Ratio","Fundamental reason","Hedge for stocks during bear markets","Introduction","Simple trading strategy","Source Paper"
"1",1,"Asset Class Trend Following","No","Monthly","6*","equities, bonds, commodities, REITs","ETFs, funds, futures, CFDs","Simple strategy","1973-2008",36,"11.27%*","6.87%*","-9.53%*","Strong","momentum, asset class picking, trendfollowing",1559347200,"The idea of the functionality is straightforward. Momentum or trend-following filters are able to identify times with lower a performance connected with higher volatity or risk. On the other hand, aforementioned can also identify periods with a higher performance with a lower volatility and risk. If this process is succesful, it naturally leads to a strategy that would outperform a passive buy and hold strategy. Same can be said about this strategy and more importantly, it could be seen in the results of the research. Proper timing of each asset class individually leads to an investment that always outperforms the passive buy and hold strategy with much lower drawdowns. Building on that, it is also natural to form a portfolio of several asset classes with incorporated momentum filters that would enhance returns and lower risks as this portfolio exploits diversification benefits of low correlation between assets, allowing to stay invested in asset classes that are suitable at that time and stay away if it is not desired. From the practical point of a view, utilizing the proposed strategy since 1973 (the start of the backtesting period), an investor would have been able to increase risk adjusted returns by diversifying portfolio assets and employing a market-timing solution.  Moreover, the investor would have also been able to avoid many of the tedious bear markets connected with various asset classes. Interestingly, according to the author, avoiding these massive losses would have resulted in equity-like returns with bond-like volatility and drawdown. An interesting thought how to sum it up can be found in the work of Collie, Sylvanus and Thomas: Volatility-responsive asset allocation. ""Market volatility is itself volatile; markets can be relatively stable at some points in time and explosively volatile at others. This means that the risk associated with a traditional (fixed-weight) strategic asset allocation policy can be highly variable over time.""","Partially - Tactical asset allocation strategy like the one proposed by Mebane Faber in his famous paper ""A Quantitative Approach to Tactical Asset Allocation""  usually contains equity like risk assets and TAA strategy tries to rotate out of them during time of stress. Therefore proposed strategy isn't mainly used as an addon to portfolio to hedge equity risk directly, but it is more an overlay which can be used to manage percentual representation of equities (or ""equity like asssets"") in a portfolio.  Tactical asset allocation framework can decrease overall risk of equities in a portfolio and it can improve the risk-adjusted returns.","Asset class trend following is a strategy that tries to exploit a momentum anomaly with a proper market-timing, however the perk is that the strategy does it with various assets. The strategy itself is not complicated, yet it is worth mentioning because of its possible usage. Strategy is based on various moving averages/momentum filters to gain an exposure to an asset class only at the time when there is a higher probability for outperformance of the simple buy and hold strategies, but with much lower both volatility and drawdowns. Additionally, author states that the attempt was not to build an optimization model, but rather to build a simple trading model that works in the vast majority of markets, what implicates that this model could and maybe should be modified to suit the investor´s individual needs. To sum it up, the results of the paper suggest that a market timing solution is a risk-reduction technique that signals when an investor should exit a risky asset class in favor of risk-free investments. This strategy has been popularized by Mebane Faber (with risk parity weighting tweaking), but the asset class trend following is widely and positively accepted among the academic world. For example, quoting Hall (A More Quantitative Approach to “A Quantitative Approach to Tactical Asset Allocation): ""His strategy takes advantage of different market regimes. Though his exact strategy may not coincide with the investment goals of financial institutions due to the binary investment decisions in Faber’s strategy, the advantages of investing dependent on the regimes of different asset classes are important enough that institutions should not avoid Tactical Asset Allocation. This paper confirms Faber’s approach that taking advantage of economic cycles can significantly improve risk-adjusted returns."" We present the Faber's simple version, but we offer links to other similar strategies in ""Other papers"" section (we would like to recommend them to read).","Use 5 ETFs (SPY - US stocks, EFA - foreign stocks, BND - bonds, VNQ - REITs, GSG - commodities), equal weight the portfolio. Hold asset class ETF only when it is over its 10 month Simple Moving Average, otherwise stay in cash.","Mebane Faber: A Quantitative Approach to Tactical Asset Allocationhttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=962461Abstract:      The purpose of this paper is to present a simple quantitative method that improves the risk-adjusted returns across various asset classes. A simple moving average timing model is tested since 1900 on the United States equity market before testing since 1973 on other diverse and publicly traded asset class indices, including the Morgan Stanley Capital International EAFE Index (MSCI EAFE), Goldman Sachs Commodity Index (GSCI), National Association of Real Estate Investment Trusts Index (NAREIT), and United States government 10-year Treasury bonds. The approach is then examined in a tactical asset allocation framework where the empirical results are equity-like returns with bond-like volatility and drawdown."
"2",2,"Asset Class Momentum - Rotational System","No","Monthly","5*","equities, bonds, commodities, REITs","ETFs, funds, futures, CFDs","Simple strategy","1973-2009",37,"15.00%*","9.60%*","-12.95%*","Strong","momentum, asset class picking, rotational system",1.15,"No doubt, momentum is widely accepted among the vast majority of academic researchers as one of the strongest return generating factor. Moreover, this anomaily is still receiving a lot of attention from the academic world. As a result, potential investor can find a lot of momentum based strategies, however, it might be worth considering whether the strategy would work in the future. The reason to rotate various asset classes is simple, everything is based on the fact, that various asset classes have different sensibility to business cycles (likewise stocks from different industry sectors also have different sensitivity). Therefore it is possible to rotate between asset classes and hold only asset classes with the highest probability of returns and lowest probability of losses. According to the Kessler and Scherer, and their work ""Macro Momentum and the Economy"",  the success of the rotational strategy can be attributed to predictable variations in the investment opportunity set. Where excess returns can be interpreted as payoffs for rational investors hedging against predictable changes in investment opportunity set. Last but not least, the applicability of this strategy is ensured by the fact that the practitioner today can choose from thousands of mutual funds, ETFs or closed-end funds. Many of these funds can be traded for $8 a trade or less and many mutual funds, and ETFs are now commission free at some online brokers.","Partially - Tactical asset allocation strategy like the one proposed by Mebane Faber in his famous paper ""A Quantitative Approach to Tactical Asset Allocation""  usually contains equity like risk assets and TAA strategy tries to rotate out of them during time of stress. Therefore proposed strategy isn't mainly used as an addon to portfolio to hedge equity risk directly, but it is more an overlay which can be used to manage percentual representation of equities (or ""equity like asssets"") in a portfolio.  Tactical asset allocation framework can decrease overall risk of equities in a portfolio and it can improve the risk-adjusted returns.","Momentum based strategies, in which are grouped both trendfollowing and relative strength techniques, have been applied as investment strategies for over a century and no doubt, momentum is one of the most widely discussed and researched investment strategies. There are various ways how to utilize this anomaly for the profit, a simple one is based on using momentum filter separately in each asset class and then combining asset classes into the one portfolio (as it is done in the ""#1 - Asset Class Trend Following"" strategy). However, another way is to use rotational momentum trading system, in search of the best asset class at the time of the investment. There is a simple way how to achieve that, the rotational momentum system compares the performance of all asset classes and picks only the best performing assets from the investment universe into the investor's portfolio. The results showed robust performance across measurement periods as well as over the past eight decades and yet the trading rule is simple, same as the execution: the portfolio is rebalanced every month and portfolio's holdings are rotated so that only the best performing assets are held - there comes the name ""rotational system"". Various assets could be used in this system, to be more precise: equities, bonds, commodities and REITs. We present Mebane Faber's rotational system as a source paper (and his asset choices in it), however, the basic principle is verified by many other academics. For example, Kessler and Scherer in ""Macro Momentum and the Economy"" have found strong evidence for momentum across various asset classes. Their investment strategy that simultaneously looks at relative momentum between currencies, equities, real estate, commodities and equities leads to stable and robust outperformance that survives both transaction costs as well as various stability tests. There are many other variants we would like to recommend to review and those strategies can be found in the ""Related papers"" section.","Use 5 ETFs (SPY - US stocks, EFA - foreign stocks, BND - bonds, VNQ - REITs, GSG - commodities). Pick 3 ETFs with strongest 12 month momentum into your portfolio and weight them equally. Hold for 1 month and then rebalance.","Mebane Faber: Relative Strength Strategies for Investinghttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=1585517Abstract:      The purpose of this paper is to present simple quantitative methods that improve risk-adjusted returns for investing in US equity sectors and global asset class portfolios. A relative strength model is tested on the French-Fama US equity sector data back to the 1920s that results in increased absolute returns with equity-like risk. The relative strength portfolios outperform the buy and hold benchmark in approximately 70% of all years and returns are persistent across time. The addition of a trend-following parameter to dynamically hedge the portfolio decreases both volatility and drawdown. The relative strength model is then tested across a portfolio of global asset classes with supporting results."
"3",3,"Sector Momentum - Rotational System","No","Monthly","10*","equities","ETFs, stocks, funds","Simple strategy","1928-2009",82,"13.94%*","18.38%*","-71.29%*","Strong","momentum, sector picking, rotational system",0.54,"The momentum anomaly itself is usually explained by the behavioral shortcomings, such as investor herding, investor over or underreaction and confirmation bias. Considering the industry momentum, Moskowitz and Grinblatt states that industry momentum investment strategies, which buy stocks from past winning industries and sell stocks from past losing industries, appear highly profitable, even after controlling for size, book-to-market equity, individual stock momentum, the cross-sectional dispersion in mean returns, and potential microstructure influences.Chen, Jiang and Zhu in ""Do Style and Sector Indexes Carry Momentum?"" stated that the existing literature documents that cross-sectional stock returns exhibit price and earnings momentum patterns. However, the implementation of such strategies, is costly due to the large number of stocks involved and some studies show that momentum profits do not survive transaction costs. Later on, they have examined whether sector indexes commonly used in financial industry also have momentum patterns. Results showed that sector indexes exhibit both price momentum and earnings momentum. Most importantly, these momentum strategies are profitable even after adjusting for potential transaction costs.  Another proof of the functionality and the option how to trade the sector momentum is presented in the paper of Andreu, Swinkels and Tjong-A-Tjoe: Can exchange traded funds be used to exploit country and industry momentum? Firstly, they have tried to answer the question whether country and industry momentum effects can really be exploited by investors or are illusionary in nature. Later, they have analyzed the profitability of country and industry momentum strategies using actual price data on Exchange Traded Funds. The findings were clear, over the sample periods that these ETFs were traded, an investor would have been able to exploit country and industry momentum strategies with an economically significant excess return. Adding the aforementioned to the well-known fact that equity sectors have different sensibility to the business cycles and therefore it is possible to rotate between them, with the aim to hold only the sectors with the highest probability of returns and lowest probability of losses, simply makes the profitable and significant strategy.","No - Strategy is invested exclusively in equities. But alternative strategy which invest in top momentum sectors and shorts equal amount of corresponding index have negative correlation to equity market risk and can be potentially used to hedge equity risk. However, rigorous backtest is needed to determine return/risk characteristics and correlation to equity market risk ...","A combination of two simple strategies or anomalies can lead to even better strategy in terms of the performance. It is clear that both momentum and rotational trading strategies are simple but profitable. Interestingly their combination fits the aforementioned case. Momentum is one of the most researched and profitable anomalies, while the rotational trading systems in equity sectors/industries are nearly as old as equity markets. In the past, both traders and investors have noticed an interesting behaviour of stocks, if we group stocks according to their sectors (industries), distinct sector groups would have different sensitivity to business cycles. Naturally, investors in the past have always tried to utilize the different sensitivity. No doubt, a simple approach, where the investor picks the best sector for his investment at the time would make a profitable strategy. Sector rotation itself offers a lot of possibilities how to invest, however, it is safe to say that a rotation based on momentum is one of the most successful. The investment universe proposed by the original paper contains 10 industry sectors, where the investor repeatedly picks equity sectors with the highest momentum (with the best past performance) into his portfolio. Simply said, the objective of this strategy is to outperform the simple strategy consisting of buying and holding an equity index. Additionally, an interesting addition to this topic is the work of Moskowitz and Grinblatt ""Do Industries Explain Momentum?"". They have found that the importance of the industry momentum may be even bigger. Their paper documents a strong and prevalent momentum effect in industry components of stock returns which accounts for much of the individual stock momentum anomaly. Quoting the authors: ""Specifically, momentum investment strategies, which buy past winning stocks and sell past losing stocks, are significantly less profitable once we control for industry momentum."" Lastly, there are two options for this strategy, there is a long only strategy (which we have presented) and a long-short version of this strategy, where investors holds the best performing sectors and shorts the market portfolio or the worst performing sectors.","Use 10 sector ETFs. Pick 3 ETFs with strongest 12 month momentum into your portfolio and weight them equally. Hold for 1 month and then rebalance.","Mebane Faber: Relative Strength Strategies for Investinghttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=1585517Abstract:      The purpose of this paper is to present simple quantitative methods that improve risk-adjusted returns for investing in US equity sectors and global asset class portfolios. A relative strength model is tested on the French-Fama US equity sector data back to the 1920s that results in increased absolute returns with equity-like risk. The relative strength portfolios outperform the buy and hold benchmark in approximately 70% of all years and returns are persistent across time. The addition of a trend-following parameter to dynamically hedge the portfolio decreases both volatility and drawdown. The relative strength model is then tested across a portfolio of global asset classes with supporting results."
"4",4,"Overnight Anomaly","Yes","Intraday","1*","equities","stocks, ETFs, funds, futures","Very complex strategy","1993-2006",14,"14.00%*",NA,NA,"Moderately strong","market timing, seasonality",0,NA,NA,NA,NA,NA
"5",5,"FX Carry Trade","No","Monthly","10*","currencies","futures, forwards, swaps, CFDs","Simple strategy","1989-2010",22,"7.49%*","9.70%*","-34.55%","Strong","carry trade, FX anomaly, forex system",0.77,"Overall, in the academic literature, there is a consent that the foreign exchange carry trade anomaly works. For example, Acemoglu, Rogoff and Woodford in the Carry Trades and Currency Crashes says: ""A “naive” investment strategy that chases high yields around the world works remarkably well in currency markets. This strategy is typically referred to as the carry trade in foreign exchange, and it has consistently been very profitable over the last 3 decades."" The academic theory says that according to the uncovered interest rate parity, carry trades should not yield a predictable profit because the difference in interest rates between two countries should be equal to the rate at which investors expect the low-interest-rate currency to rise against the high-interest-rate one. High interest rate currency often do not fall enough to offset carry trade yield difference between both currencies, because the inflation is lower than that which was expected in the high-interest-rate country. Additionally, the carry trades often weak the currency that is borrowed and the reason is simple, investors sell the borrowed money by converting it to the other currencies. Capturing those gains is possible by a systematic portfolio rebalancing. Moreover, the carry trade strategy exploits the “forward-rate bias” or the “forward premium puzzle”, the fact, that the forward rate is not an unbiased estimate of future spot. Contrary to classical notions of efficient markets, carry trades have made money over time and proved themselves. Last but not least, from the classical point of a view, investors who employ the carry trade expose themselves to a currency risk and therefore those investors, which are taking this risk are rewarded by the positive returns over time. Additionally, apart from the source paper, Lustig, Roussanov and Verdelhan in their work: Common Risk Factors in Currency Markets, have identified the slope factor in exchange rates, where the high interest rate currencies load more on this slope factor than low interest rate currencies, finding that by investing in high interest rate currencies and borrowing in low interest rate currencies, US investors load up on global risk, particularly during bad times.","No - FX Carry is strongly correlated to business cycle and therefore is susceptible to drawdown during periods of stress (as equities are too) ...","The end of Bretton Woods and freely floating currencies allowed for systematic investing strategies in the currencies. Those FX strategies are already well-researched and are supported by the academic work and among them, the carry trade strategy is probably the most well-known in a currency market and also probably the most profitable one. In the past decades, the daily volume in the currency market has increased nearly tenfold. FX market is currently dominated by the large and sophisticated investors. However, the idea of the carry trade strategy is really simple, strategy systematically sells low interest rate currencies and buys high interest rates currencies trying to capture the spread between the rates. Moreover, considering a longer time frame, there is a low correlation between the returns of employing the carry strategy and the returns which could be gained from investing in more traditional asset classes such as equities and bonds. That makes a carry strategy a proven and profitable way how to diversify a portfolio. However, investor must pay attention to the carry trade strategy's correlation with global financial and exchange rate stability.","Create an investment universe consisting of several currencies (10-20). Go long 3 currencies with highest central bank prime rates and go short 3 currencies with lowest central bank prime rates. The cash not used as margin is invested on overnight rates. The strategy is rebalanced monthly.","Deutsche Bankhttps://index.db.com/htmlPages/DBCR_brochure.pdfhttp://quantpedia.com/www/DBCR_Brochure.pdfAbstract:      Carry - One of the most widely known and profitable strategies in currency markets are carry trades, where one systematically sells low interest rate currencies and buys high interest rate currencies. Such a strategy exploits what a academics call „forward-rate bias“ or the „forward premium puzzle“, that is, the forward rate is not an unbiased estimate of future spot. Put another way, contrary to classical notions off efficient markets, carry trades have made money over time. Academics believe the reason this is possible is that investors who employ  the carry trade expose themselves to currency risk. Investors taking this risk are rewarded by positive returns over time."
"6",6,"Bond Carry Strategy","Yes","Monthly","30","bonds","futures, swaps, forwards","Simple strategy","1950-2012",63,"9.91%*","8.63%*","-24.74%*","Strong","carry trade",0.68,NA,NA,NA,NA,NA
"7",7,"Low Volatility Factor Effect in Stocks - Long-Only Version","No","Monthly","50*","equities","stocks","Complex strategy*","1986-2006",21,"11.30%*","10.10%*",NA,"Strong*","stock picking, volatility effect",0.72,"Firstly, in order to take full advantage of the attractive absolute returns of low risk stocks, there is a need for leverage. However, in practice, many investors are either not allowed or they are simply unwilling to actually apply leverage, especially the leverage needed for exploiting the volatility effect. This results in the fact, that the opportunity, which is presented by low risk stocks cannot be easily arbitraged away. Secondly, the volatility effect could be the result of an inefficient and decentralized investment approach. The problem of benchmark driven investing is that asset managers have an incentive to tilt towards high beta or high volatility stocks, which is a relatively simple way for every asset manager to generate returns above the average, if he assumes that the CAPM at least partially holds. This results in overpriced high risk stocks, while low risk stocks may become under-priced, this is particularly consistent with the return patterns which were documented in this paper. The volatility effect may be also caused by the behavioral biases among private investors. Private investors will overpay for risky stocks which are perceived to be similar to lottery tickets, because they are in the search for a high returns in as short time as possible. Additionally, Li, Sullivan and García-Feijóo in their paper, The Low-Volatility Anomaly: Market Evidence on Systematic Risk versus Mispricing, have found out that the anomaly returns associated low-volatility stocks can be attributed to market mispricing or to compensation for higher systematic risk. Soe, in The low-volatility effect: A comprehensive look, claims that volatility-effect challenges the traditional equilibrium asset pricing theory that an asset’s expected return is directly proportional to its beta or systematic risk, or, in other words, higher-risk securities should be rewarded with higher expected returns while lower-risk assets receive lower expected returns. The evidence seems to be endless. Moreover, the volatility effect is similar in size compared to classic effects (momentum, size and value) and remains significant after Fama-French adjustments and double sorts. Last but not least, concentrating on long-term, past 3 years volatility implies a much lower portfolio turnover.","Partially - Low volatility stocks (low risk stocks) are usually more safe during turmoil and Low Volatility Effect in a long-short variant (not long-only, but long-short, where investor holds the lowest volatility decile od stocks and shorts the highest volatility decile of stocks) can be used as portfolio hedge against equity risk. However caution should be used as popularity of low volatility investing could move valuation (measured by common valuation ratios like P/E, P/B, P/CF etc.) of low volatility stocks into excessive high (compared to neutral market valuation). This popularity of low volatility factor investing and high valuation of low volatility stocks can be then detrimental to  their performance during market stress.","Efficient markets theory has been challenged by the finding that relatively simple anomalies can be utilized to construct trading strategies, that are found to generate statistically significant higher returns than those of the market portfolio. There is also a second possibility where the Market efficiency is also challenged, if some simple investment strategy generates a comparable return to that of the market, but at a systematically lower level of risk. Well known strategies which challenge efficiency are Momentum, Size and Value, but a large amount of research has been made about volatility effect in stocks. Low risk stocks exhibit significantly higher risk-adjusted returns than the market portfolio, while high risk stocks significantly underperform on a risk-adjusted basis. Authors Clarke, de Silva and Thorley have found that minimum variance portfolios, based on the 1000 largest US stocks over the years 1968-2005, achieve a volatility reduction of about 25%, while delivering comparable or even higher average returns than the benchmark market portfolio. This paper has even found that portfolios which consist of stocks with the lowest historical volatility are associated with Sharpe ratio improvements, that are even larger than those in aforementioned minimum variance portfolios. Baker, Bradley and Wurgler in their work: Benchmarks as Limits to Arbitrage: Understanding the Low Volatility Anomaly, have proved that over the past 41 years, high volatility and high beta stocks have substantially underperformed low volatility and low beta stocks in U.S. markets. Clearly, there is a lot of evidence that volatility effect is an anomaly that works and should be utilized in a investing strategy. Concentrating on long-term volatility, investor can utilize the aforementioned anomaly by creating decile portfolios that are based on a straightforward ranking of stocks on their historical return volatility. Afterwards, the investor would simply long the decile with the stocks with the lowest volatility (moreover, he can short the decile of stocks with the highest volatility).Going long on low risk stocks and short on high risk stocks produce a significant volatility spread. However, a long-short portfolio isn't the only way to exploit this anomaly. A long-only strategy is much easier to implement than a long-short strategy. The investor could simply go long on low volatility stocks and enjoy the higher Sharpe ratio than common equity indices.","The investment universe consists of global large cap stocks (or US large cap stocks). At the end of the each month, the investor constructs equally weighted decile portfolios by ranking the stocks on the past three year volatility of weekly returns. The investor goes long stocks in the top decile (stocks with the lowest volatility).","Blitz, Vliet: The Volatility Effect: Lower Risk Without Lower Returnhttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=980865Abstract:      We present empirical evidence that stocks with low volatility earn high risk-adjusted returns. The annual alpha spread of global low versus high volatility decile portfolios amounts to 12% over the 1986-2006 period. We also observe this volatility effect within the US, European and Japanese markets in isolation. Furthermore, we find that the volatility effect cannot be explained by other well-known effects such as value and size. Our results indicate that equity investors overpay for risky stocks. Possible explanations for this phenomenon include (i) leverage restrictions, (ii) inefficient two-step investment processes, and (iii) behavioral biases of private investors. In order to exploit the volatility effect in practice we argue that investors should include low risk stocks as a separate asset class in the strategic asset allocation phase of their investment process."
"8",8,"Currency Momentum Factor","No","Monthly","10*","currencies","futures, forwards, swaps, CFDs","Simple strategy","1989-2010",22,"6.48%*","10.00%*","-21.63%","Strong","momentum, FX anomaly, forex system",0.65,"The basic reason why does the momentum anomaly work is simple, academics explain this anomaly by the irrationality of investors. More precisely, their underreaction to the new information, resulting in a failure  to incorporate news in the prices. Menkhoff, Sarno, Schmeling and Schrimpf adds: ""Moreover, currency momentum is mostly driven by return continuation in spot rates (and not interest rate differentials) and has very different properties from the widely studied carry trade."" Another possible explanation is that momentum investors are exploiting behavioral shortcomings in other investors, such as investor herding, investor over- and under-reaction and confirmation bias. Concentrating on the FX momentum, the segmentation of currency market where some participants act quickly on news while others respond more slowly is one reason why trends emerge and can be protracted. Additionally, Bae and Elkamhi in ""Global Equity Correlation in Carry and Momentum Trades"" have provided a risk-based explanation for the excess returns of two widely-known currency speculation strategies: carry and momentum trades. They have constructed a global equity correlation factor and showed that it explains the variation in average excess returns of both these strategies, where the global correlation factor has a robust negative price of beta risk in the FX market. Moreover, Filippou, Gozluklu and Taylor has showed that the global political environment affects all currencies and investors following momentum strategies are compensated for the exposure to the global political risk of those currencies they hold, i.e., the past winners, while past losers provide a natural hedge.","Yes - Currency investment styles (factors) like momentum and value have a low correlation to traditional equity market factor. FX momentum can be profitably used to augment traditional equity heavy asset allocation, we recommend to check research paper by Lohre and Kolrep: ""Currency Management with Style"" as an example. Also, paper by Grobys, Heinonen and Kolari shows that FX momentum factor is a hedge for global economic risk in their research paper ""Is Currency Momentum a Hedge for Global Economic Risk?"".","Originally discovered in equity markets, momentum strategy is a well-known, well-researched and most importantly robust anomaly. Moreover, it has been documented in various asset classes across the world and by many academics and is considered as a really strong anomaly. Momentum is a trendfollowing strategy, where the strategy buys the assets which has performed well in the past and sells the assets which has performed bad. No surprise, the momentum anomaly is present also in the currencies. In the currency market, momentum is a widely observed feature that many exchange rates trend on a multi-year basis. Therefore, a strategy that follows the trend, typically makes positive returns over time. The financial literature about the anomaly is consistent and the academics agree that the momentum anomaly has its place in the FX market, for example, Menkhoff, Sarno, Schmeling and Schrimpf in the Currency Momentum Strategies, tested the momentum strategy during the period from 1976 to 2010, with an investment universe consisting of more than 40 currencies. They have found a large and significant cross-sectional spread in excess returns of up to 10% p.a. between past winner and past loser currencies, i.e. currencies with high recent returns continue to outperform currencies with low recent returns by a significant margin. Interestingly, Grobys and Heinonen have even found that there is a robust link between the returns of the momentum anomaly implemented in currency markets and global economic risk, measured by the currency return dispersion (RD). They have found that the spread of the zero-cost momentum strategy is significantly larger in high RD states (worldwide crisis state) compared to low RD states.","Create an investment universe consisting of several currencies (10-20). Go long 3 currencies with strongest 12 month momentum against USD and go short 3 currencies with lowest 12 month momentum against USD. Cash not used as margin invest on overnight rates. Rebalance monthly.","Deutsche Bankhttps://index.db.com/htmlPages/DBCR_brochure.pdfhttp://quantpedia.com/www/DBCR_Brochure.pdfAbstract:      Momentum - A widely observed feature of currency markets is that many Exchange rates trend on a multi-year basis. Therefore a strategy that follows the trend typically makes positive returns over time. The segmentation of currency market participants with some acting quickly on news while others respond more sowy is one reason why trends emerge and can be protracted"
"9",9,"Currency Value Factor - PPP Strategy","No","Quarterly","10*","currencies","futures, forwards, swaps, CFDs","Simple strategy","1989-2010",22,"7.80%*","9.06%*","-17.88%","Strong","value, FX anomaly, forex system",0.86,"Menkhoff, Sarno, Schmeling and Schrimpf in ""Currency Value"" have showed that measures of currency valuation derived from real exchange rates contain significant predictive content for FX excess returns and spot exchange rate changes in the cross section of currencies. Most of the aforementioned predictability stems from persistent cross-country differences in macroeconomic fundamentals. This suggests that currency value mostly captures risk premia which vary across countries, but are fairly static over time. Moreover, their results do not support the standard notion that trading on simple measures of currency value is profitable because spot exchange rates are reverting back to fundamental values. When the real exchange rates are decomposed into underlying macroeconomic drivers, it was found that refined valuation measures relate more closely to ""currency value"" in the original sense in that they predict both excess returns as well as a reversal of exchange rates. Additionally, as it was already mentioned in the description, different countries consume different baskets of goods and it is partially possible to asses the relative price level - to identify which country is ""cheap"" and which country is ""expensive"". The price differences between countries narrow just very slowly over time. A rebalanced portfolio, which has the actually most undervalued and overvalued currencies helps to capture gains from the exchange rate convergence to the fair value.","Yes - Currency investment styles (factors) like momentum and value have a low correlation to traditional equity market factor. FX value can be profitably used to augment traditional equity heavy asset allocation, we recommend to check research paper by Lohre and Kolrep: ""Currency Management with Style"" as an example. FX Value correlation to equities often goes into negative territory in a time of stress (as this is usually time when undervalued currencies appreciate and overvalued stronhly depreciate)and this feture makes this style a very valuable hedge.","There are several features of currency returns that make currency an attractive asset class for institutional investors, but the FX market has become popular also in the world of individual investors and therefore it is beneficial to study various factors in this currency world. One of these factors is a FX value, deeply connected with a Purchasing power parity (PPP), a theory concerning the long-term equilibrium exchange rates based on a relative price levels of two countries. The aforementioned concept was founded on the law of one price - the idea that in absence of transaction costs, identical goods in different markets would be priced the same. No surprise, different countries consume different baskets of goods, however, it is partially possible to asses a relative price level, more precisely, it is possible to find out which country is ""cheaper"" and on the other hand, which country is ""more expensive"" for living. PPP theory states, that price differences between countries should narrow over time by the exchange rate movements or by different rates of inflation (which also has some implications on exchange rate movements). Concentrating on the FX market in the long-run, currencies tend to move towards their ""fair value"". Consequently, systematically buying ""undervalued"" currencies and selling ""overvalued"" currencies leads to a profitable trading strategy in the medium-term. Last but not least, the world of academics recognizes the value in the foreign exchange market as one of the key factor, as well as FX momentum or FX carry.","Create an investment universe consisting of several currencies (10-20). Use the latest OECD Purchasing Power Parity figure to assess fair value of each currency versus USD in the month of publishing and then use monthly CPI changes and exchange rate changes to create fair PPP value for the month prior to the current month. Go long 3 currencies which are the most undervalued (lowest PPP fair value figure) and go short 3 currencies which are the most overvalued (highest PPP fair value figure). Invest cash not used as margin on overnight rates. Rebalance quarterly or monthly.","Deutsche Bankhttps://index.db.com/htmlPages/DBCR_brochure.pdfhttp://quantpedia.com/www/DBCR_Brochure.pdfAbstract:      Valuation - In the long run, currencies tend to move towards their „fair value“. Consequently, systematically buying „undervalued“ currencies and selling „overvalued“ currencies is profitable in the medium term. One of the strongest conclusions in academia is that fundamentals tend not to work for currencies in the short to medium term, yet they do long term. One of the oldest measures of „fair value“, purchasing power parity, has been shown to work in the long run."
"10",10,"Sector Rotation based on Monetary Policy","Yes","Yearly","10","equities","stocks, ETFs, funds","Moderately complex strategy","1973-2005",33,"15.82%*","15.50%*",NA,"Strong","sector picking",0.76,NA,NA,NA,NA,NA
